比赛项目,报名开启时间,报名渠道,创建人,分项规模,官网,完赛经历要求,体检报告,奖牌,官方邮箱,联系电话,运营单位,出签日期,省份,赛事等级,退出机制,报名截止时间,比赛路线,抽签,起点,状态,主办单位,比赛日期,报名费,缴费时间,总规模,最后编辑人,微信公众号,赛事
全程 / 半程,2025-08-13 10:00,官网/微信/小程序 / 数字心动,,10000/5000,,1.马拉松组：男子全程≤3:54:53，女子全程≤4:24:53； 2.半程马拉松组：男子全程≤4:30:00或男子半程≤2:05:00，女子全程≤5:00:00或半程≤2:20:00。,自行评估,,carmmarathon@163.com,19905197127,江苏有迈体育发展股份有限公司,2025-09-12 00:00,江苏,A,报名成功后不可退出,2025-09-07 23:59,,✔️,,已结束,中国田径协会 / 常州市人民政府,2025-11-23 00:00,200/160,中签后缴费,15000,,中国马拉松精英排名赛,中国马拉松精英排名赛暨长荡湖马拉松
全程 / 半程,2025-05-30 10:40,官网/微信/小程序 / 数字心动,,3000/7000,,未提及,自行评估,,chizhoumarathon@163.com,,池州山水体育文化发展有限公司,2025-07-15 10:54,安徽,A,,2025-06-30 22:40,,✔️,平天湖莲花台,已结束,安徽省体育局 / 池州市人民政府,2025-11-16 10:05,120/100,报名时缴费,16000,,池州马拉松,池州马拉松
半程,2025-08-08 10:00,官网/微信/小程序 / 数字心动,,3500,,未提及,自行评估,,yzgymls@163.com,17775390907,池州山水体育文化发展有限公司,2025-09-05 00:00,江苏,B,,2025-08-27 21:00,,✔️,净土寺塔广场,已结束,高邮市人民政府 / 扬州市体育局,2025-11-02 00:00,120,报名时缴费,3500,,高邮大运河马拉松,扬州高邮大运河半程马拉松赛
半程,2025-08-19 18:00,官网/微信/小程序 / 数字心动,,6000,,10km及以上,自行评估,,,,,2025-09-26 00:00,上海,B,,2025-09-19 12:00,,✔️,,已结束,上海市体育总会 / 上海市宝山区人民政府,2025-11-16 00:00,120,报名时缴费,6000,,宝山体育,上海长滩半程马拉松
全程 / 半程 / 中距离 / 短距离,2025-06-08 12:00,官网/微信/小程序 / 運動筆記,,2500/4000/3500/3500,https://irunner.biji.co/HSINCHUCITY2025,未提及,未提及,,irunner@biji.co,,,,台湾,AIMS,有,2025-08-31 23:59,,❌,,已结束,新竹市政府 / 永悅健康股份有限公司,2025-11-16 23:58,NT$1600/1350/1150/950,报名时缴费,13500,,,新竹城市馬拉松
半程,2025-10-12 10:08,数字心动 / 马拉马拉,,10000,,未提及,自行评估,,pingguhm@163.com,18500107695,,2025-10-31 00:00,北京,A,,2025-10-19 18:00,,✔️,,已结束,北京市平谷区人民政府,2025-11-16 23:58,120,报名时缴费,10000,,北京市田径运动协会,平谷桃花半程马拉松
10km / 短距离,2025-10-12 10:00,官网/微信/小程序 / 数字心动 / 跑跑网(马拉松报名),,3000/2000,,未提及,自行评估,,dtmarathon@163.com,0577-88868108,浙江青鸟捷出体育科技有限公司,,浙江,A / WA,无,2025-10-23 17:00,,❌,温州市洞头区政务服务中心,已结束,中国田径协会 / 温州市洞头区人民政府,2025-11-09 00:00,100/80,报名时缴费,5000,,温州马拉松,中国田径协会10公里精英赛（温州·洞头）
全程,2025-07-23 10:00,官网/微信/小程序 / 数字心动,,24000,https://nanjing.marathon.org.cn,未提及,自行评估,,kefu@ihuipao.com,400-99-42195,无锡汇跑体育有限公司,2025-08-18 00:00,江苏,A / 金标,有候补及退出机制,2025-08-11 17:00,https://docimg2.docs.qq.com/image/AgAACG-qqCGbhLPAOaFD_r7TOlqy9vwj.jpeg?w=1280&h=2357,✔️,南京奥林匹克体育中心,已结束,南京市人民政府,2025-11-16 23:58,200,中签后缴费,24000,,南京马拉松,南京马拉松
半程,2025-08-06 10:00,官网/微信/小程序,,7000,,未提及,自行评估,,liandaomarathon@126.com,15371011451,江苏飞睿体育文化发展有限公司,,江苏,B,,2025-09-29 17:00,,❌,,已结束,连云港市人民政府,2025-11-09 00:00,120,,7000,,,连云港·连岛半程马拉松赛
全程 / 超半马 / 中距离,2025-06-04 12:00,官网/微信/小程序 / 運動筆記,,4000/6000/6500,https://www.tianzhongmarathon.com,未提及,未提及,,520running@gmail.com,(886)04-8753520,彰化縣馬拉松路跑協會 / 彰化縣城鄉創意發展協會,,台湾,AIMS,,2025-06-14 23:59,,❌,,已结束,"彰化縣政府 / ""中華民國舒康樂活運動協會""",2025-11-08 14:41,NT$1750/1650/1450,报名时缴费,16500,,,台灣米倉田中馬拉松
全程 / 半程,2025-05-08 10:00,数字心动 / 润赛美佳,,6000/12000,,未提及,自行评估,,ztdjkgs@163.com,18008053490,成都中体大健康体育文化传播有限公司,,四川,A / 金标,身体原因可申请,2025-06-30 22:00,,❌,火把广场,已结束,凉山彝族自治州人民政府,2025-11-01 08:34,200/160,报名时缴费,18000,,西昌邛海湿地马拉松,西昌邛海湿地马拉松
全程 / 半程,2025-08-29 10:00,官网/微信/小程序 / 汇跑参赛助手,,7000/6000,,未提及,自行评估,,apply@wuhanmarathon.org,027-88712733,武汉汉马体育管理有限公司,2025-09-17 00:00,湖北,A,,2025-09-05 23:59,,✔️,华中科技大学,已结束,湖北省体育局 / 武汉东湖新技术开发区管委会,2025-11-16 23:58,150/100,中签后缴费,13000,,光谷马拉松,光谷马拉松
半程,2025-07-17 10:00,官网/微信/小程序,,15000,,10km及以上,自行评估,https://docimg2.docs.qq.com/image/AgAACG-qqCEPzBE3LwhLH7bsClXb3itl.jpeg?w=1280&h=1807,cqnbmarathon@163.com,(023)62898882,重庆重马体育发展有限公司,2025-08-04 00:00,重庆,A,,2025-07-25 16:45,,✔️,,已结束,重庆市南岸区人民政府,2025-11-02 00:00,200,报名时缴费,15000,,重庆长嘉汇半程马拉松,重庆（长嘉汇）半程马拉松
全程 / 超半马 / 短距离,2024-12-20 11:00,官网/微信/小程序 / 運動筆記,,1000/3000/1000,https://www.sunmoonlakemarathon.com,未提及,未提及,,sunmoonlakemarathon.service@gmail.com,(886)0986-257178,,,台湾,AIMS,,2025-05-28 17:00,,❌,日月潭,已结束,"""中華運動生活協會""",2025-10-26 15:05,NT$1700/1500/1200,报名时缴费,5000,,,日月潭環湖馬拉松
全程 / 半程 / 10km / 短距离,2025-05-08 17:00,官网/微信/小程序,,4000/8500/8500/3000,https://www.evaairrun.com/sc,未提及,未提及,,service@sportsnet.org.tw,(886)02-25855659,,,台湾,AIMS,有,2025-05-29 17:00,,❌,,已结束,"長榮航空 / ""中華民國路跑協會"" / ""中華民國文化休閒運動協會""",2025-10-26 14:36,NT$1800/1100/800/500,报名时缴费,24000,,长荣航空,長榮航空馬拉松 
全程 / 半程,2025-09-11 10:00,官网/微信/小程序 / 数字心动,,3000/9000,https://hz.xcmsports.com,未提及,自行评估,,huzhoumarathon@126.com,0572-2587703,厦门文广体育有限公司,2025-09-30 00:00,浙江,A,,2025-09-26 18:00,,✔️,湖州市奥体中心,已结束,湖州市人民政府,2025-11-09 00:00,180/160,报名时缴费,12000,,湖州马拉松,湖州马拉松
全程 / 半程,2025-08-05 10:00,官网/微信/小程序 / 数字心动,,4000/8000,,未提及,自行评估,,xgmarathon@163.com,13044802661,广州博润体育科技有限公司,2025-09-15 00:00,湖北,A,,2025-09-05 17:00,,✔️,孝感市文化中心,已结束,孝感市人民政府,2025-11-02 00:00,180/150,报名时缴费,20000,,孝感马拉松,孝感马拉松
半程,2025-08-01 15:00,官网/微信/小程序 / 第一赛道,,20000,https://nanchangganjiang.sport-china.cn,半程或以上,自行评估,,nanchangganjiang@gustomail@cn,,广东新中体育集团有限公司,,江西,A,有,2025-09-30 23:59,,❌,汇贤大道[地铁站],已结束,江西省体育局 / 南昌市人民政府 / 赣江新区管委会,2025-11-02 00:00,100,报名时缴费,20000,,南昌赣江半程马拉松,南昌赣江半程马拉松
全程 / 半程,2025-09-01 10:00,官网/微信/小程序,,12000/13000,http://www.zhengzhou42195.com,未提及,自行评估,,,0371-63381730,郑州郑马体育文化传播有限公司,2025-09-16 00:00,河南,A,,2025-09-11 17:00,,✔️,,已结束,郑州市人民政府,2025-11-16 00:00,200/200,中签后缴费,25000,,郑州马拉松,郑州马拉松
全程 / 半程,2025-09-08 10:00,官网/微信/小程序 / 数字心动,,3000/5000,,未提及,自行评估,,,4000661231,广西盈动体育有限公司,,广西,A,,2025-10-19 23:59,,❌,九牛爬坡,已结束,广西壮族自治区体育局 / 崇左市人民政府,2025-11-09 00:00,180/150,报名时缴费,8000,,桂运动、崇左马拉松,崇左马拉松
全程 / 半程,2025-04-15 10:00,官网/微信/小程序 / 马拉马拉,,25000/10000,http://chengdumarathon.cn/,未提及,自行评估,,cd_marathon@126.com,028-83419663,广州万达体育发展有限公司 / 成都传媒产业集团有限公司,2025-06-15 09:56,四川,A / 标牌 / AIMS,已报名跑者可点击报名详情页面的“退赛申请”按钮自行办理退款。2025年8月14日（含）之前退出退还80%报名费，2025年8月15日至2025年9月14日（含）之前退出退还60%报名费，组委会将在收到退出申请后一周内办理退款，9月15日（含）之后不可退出。,2025-05-15 22:00,,✔️,金沙遗址博物馆,已结束,中国田径协会 / 成都市人民政府,2025-10-26 17:25,200/200,报名时缴费,35000,,成都马拉松,成都马拉松
全程 / 半程,2025-06-05 14:00,官网/微信/小程序 / 第一赛道,,11000/12000,http://guilin-marathon.cn/,半程或以上,自行评估,,glmarathon@sport-china.cn,,广东新中体育集团有限公司,2025-09-23 16:07,广西,A / 精英,1.退费（1）已提交报名信息及支付报名费的运动员，可在退费服务截止前，自行在报名系统操作申请退费。（2）抽签结果公布前，申请退赛退费的将不收取任何费用，报名费将在申请后1个工作日内全额原路退回。（3）抽签结果公布后，未中签或审核未通过运动员报名费将在7个工作日内全额原路退回。（4）抽签结果公布后，已中签运动员可在9月25日18:00前在报名页面自行办理退赛退费，在服务截止前退出的退还80%报名费，办理退费后，系统将在2个工作日内将原路退款，9月25日18:00之后不可再退出。,2025-09-10 18:00,,✔️,,已结束,广西壮族自治区体育局 / 桂林市人民政府,2025-11-16 22:01,200/150,报名时缴费,23000,,桂林马拉松,桂林马拉松
半程,2025-07-22 10:00,官网/微信/小程序 / 数字心动,,10000,,半程或以上,可用完赛证书,,zjxsmls@163.com,027-59882567,南京极致体育发展有限公司,,浙江,A,无,2025-10-16 18:00,,❌,诸暨篮球中心,已结束,诸暨市人民政府,2025-11-16 00:00,120,报名时缴费,10000,,西施马拉松,诸暨西施半程马拉松
半程 / 短距离,2025-08-08 12:00,官网/微信/小程序 / 数字心动,,8000/4000,,未提及,65岁以上需要,,,17316784625,天津市飞赫体育文化传播有限公司,,重庆,A,,2025-09-28 17:00,,❌,锦绣广场,已结束,重庆市涪陵区人民政府,2025-10-26 00:00,150/60,报名时缴费,12000,,,重庆涪陵白鹤梁半程马拉松
半程,2025-09-16 10:00,官网/微信/小程序 / 数字心动,,4000,,未提及,自行评估,,paoshenchn@163.com,0571-87655950,浙江跑神体育文化策划有限公司,,上海,B,,2025-09-23 09:28,,❌,,已结束,上海市奉贤区体育局 / 上海市奉贤区文化和旅游局 / 上海市奉贤区海湾镇人民政府,2025-11-09 00:00,150,报名时缴费,4000,,跑神体育,奉贤海湾森林半程马拉松
全程 / 半程,2025-09-17 20:00,官网/微信/小程序,,1500/3500,,未提及,自行评估,,kashimarathon@163.com,0998-2666122,,,新疆,A,,2025-10-08 22:00,,❌,,已结束,喀什市人民政府 / 喀什地区体育局,2025-11-02 00:00,160/120,报名时缴费,5000,,喀什马拉松,喀什马拉松
半程,2025-10-01 10:00,官网/微信/小程序 / 第一赛道,,3500,http://luocheng.sport-china.cn,半程或以上,自行评估,,luocheng@gustomail.cn,,,,广西,A,,2025-10-31 23:59,,❌,罗城县民族文化广场,已结束,中共罗城仫佬族自治县委员会 / 罗城仫佬族自治县人民政府 / 河池市文化广电体育和旅游局,2025-11-09 00:00,120,报名时缴费,3500,,第一赛道、罗城半程马拉松,罗城半程马拉松
全程 / 半程,2025-07-16 10:00,官网/微信/小程序,,2000/5000,https://jiande.zjim.org,半程或以上,可用完赛证书,,hirunkefu@163.com,19558164512,杭州嗨跑体育管理有限公司,,浙江,A,无,2025-09-30 18:00,,❌,建德博物馆,已结束,建德市人民政府 / 浙江省马拉松及路跑协会,2025-11-16 00:00,150/150,报名时缴费,7000,,建德马拉松,建德马拉松
全程,2025-05-23 15:00,官网/微信/小程序,,12000,https://xishanmls.com,未提及,自行评估,,suaosports@163.com,0512-65722565,江苏苏奥体育科技有限公司,2025-07-07 00:00,江苏,A,中签后不可退出,2025-06-23 17:00,,✔️,,已结束,无锡市锡山区人民政府,2025-11-09 17:56,120,报名时缴费,12000,,锡山宛山湖马拉松,锡山宛山湖马拉松
全程 / 半程,2025-07-30 10:00,,,3000/7000,,,,,,,路越（上海）体育发展有限公司,2025-09-20 00:00,湖北,A / 精英,,2025-09-10 18:00,,✔️,,已结束,宜昌市人民政府,2025-11-02 08:52,160/130,,10000,,,宜昌马拉松
全程 / 半程,2025-08-08 14:00,官网/微信/小程序,,20000/12000,https://www.nanchangmarathon.cn,未提及,自行评估,,nanchang42195@163.com,0791-82760195,北京中迹体育管理有限公司,2025-08-30 00:00,江西,A / 精英,,2025-08-18 17:00,,✔️,八一广场,已结束,江西省体育局 / 南昌市人民政府,2025-11-09 14:42,200/150,中签后缴费,32000,,南昌马拉松,南昌马拉松
全程 / 半程,2025-08-22 10:00,官网/微信/小程序,,10000/15000,https://www.hefeimarathon.com,未提及,必须,https://docimg2.docs.qq.com/image/AgAACG-qqCG88ZpF3-9Gybnz6oPxZvcr.jpeg?w=2275&h=1279,,0551-62648635,,2025-09-09 00:00,安徽,A,,2025-09-05 17:30,,✔️,合肥骆岗公园,已结束,安徽省体育局 / 合肥市人民政府,2025-11-09 00:00,150/100,中签后缴费,25000,,合肥马拉松,合肥马拉松
全程 / 半程,2025-08-12 10:00,官网/微信/小程序 / 数字心动,,2500/5500,,未提及,自行评估,,bengbumls@163.com,,,,安徽,A,,2025-09-12 10:00,,❌,蚌埠市体育场(体育路店),已结束,安徽省体育局 / 蚌埠市人民政府,2025-11-02 00:00,150/100,,8000,,蚌埠马拉松,蚌埠马拉松
半程 / 短距离,2025-07-15 10:00,官网/微信/小程序,,7000/3000,,,自行评估,,shuangao66@163.com,010-53383535,北京双奥体育文化产业集团有限公司,,陕西,B,,2025-08-30 18:00,,❌,富昌大桥,已结束,渭南市体育局 / 富平县人民政府,2025-10-26 00:00,120/50,报名时缴费,10000,,富平半程马拉松,富平半程马拉松
半程,2025-07-02 10:00,官网/微信/小程序 / 数字心动 / 马拉马拉,,10000,,半程或以上,可用完赛证书,,,19907155622,湖北互通有道体育科技有限公司,2025-10-03 00:00,湖北,A,,2025-09-28 18:00,https://docimg3.docs.qq.com/image/AgAACG-qqCG2LcYBDiJMzpxJmrFDadtQ.png?w=830&h=1093,✔️,遗爱清风,已结束,黄冈市人民政府,2025-11-02 00:00,150,报名时缴费,10000,,黄冈马拉松,黄冈半程马拉松
全程 / 半程 / 短距离,2025-07-31 10:00,官网/微信/小程序 / 智赛通,,10000/14000/7000,https://www.baoji-marathon.com,未提及,自行评估,,baojimarathon@163.com,029-85361589,威赢赛事运营有限公司,2025-08-15 00:00,陕西,A,,2025-08-08 18:00,,✔️,宝鸡市行政中心广场,已结束,陕西省体育局 / 宝鸡市人民政府,2025-10-26 00:00,200/200/120,报名时缴费,31000,,宝鸡马拉松、威赢赛事,宝鸡马拉松
全程 / 半程,2025-09-26 10:00,官网/微信/小程序 / 第一赛道,,1000/2000,http://fuchuan.sport-china.cn,半程或以上,自行评估,,fuchuan@gustomail.cn,,广西新中体育有限责任公司,,广西,B,,2025-10-17 10:00,,❌,富川瑶族自治县民族体育中心,已结束,中共富川瑶族自治县委员会 / 富川瑶族自治县人民政府,2025-11-09 00:00,150/120,报名时缴费,3000,,富川马拉松,富川马拉松
半程 / 10km / 短距离,2025-08-05 10:00,官网/微信/小程序,,6000/3000/6000,,10km及以上,未提及,,,13071117160,中奥智胜（北京）体育发展有限公司,,广西,A,,2025-09-30 23:59,,❌,,已结束,广西壮族自治区体育局 / 贺州市人民政府,2025-10-26 00:00,120/100/80,报名时缴费,15000,,奥盈体育,贺州半程马拉松
全程 / 半程,2025-08-04 10:00,官网/微信/小程序 / 数字心动,,1500/2500,,未提及,自行评估,,,023-67302960,重庆炫豹体育文化产业有限公司,,重庆,B,,2025-10-15 18:00,,❌,元帅广场,已结束,重庆市江津区人民政府,2025-11-09 00:00,180/150,报名时缴费,4000,,炫豹体育,重庆江津东方爱情马拉松
全程 / 半程,2025-08-20 10:00,官网/微信/小程序 / 马拉马拉,,2000/6000,http://suininggyh-marathon.mararun.com,未提及,自行评估,,snmarathon@qq.com,18982518949,华体赛事（北京）体育管理有限公司,2025-10-16 00:00,四川,A,,2025-09-30 20:00,,✔️,,已结束,遂宁市人民政府 / 四川省田径协会,2025-11-09 00:00,180/150,报名时缴费,8000,,遂宁观音湖马拉松,遂宁观音湖马拉松
全程 / 半程,2025-07-21 10:00,官网/微信/小程序 / 跑跑网(马拉松报名) / 汇跑参赛助手,,3000/7000,https://guangan.marathon.org.cn,未提及,自行评估,,guanganmarathon@163.com,028-85282167,新华网四川有限公司,,四川,A / 标牌,,2025-10-15 23:59,,❌,,已结束,广安市人民政府,2025-11-16 00:00,200/180,报名时缴费,10000,,运动广安,广安马拉松
半程 / 短距离,2025-09-04 10:00,官网/微信/小程序 / 数字心动 / 马拉马拉 / 润赛美佳 / 最酷,,7000/3000,http://guanghan-marathon.com,未提及,现场核验,,info@guanghan-marathon.com,0838-5246921,四川体产赛事管理有限公司,2025-09-24 00:00,四川,A,,2025-09-17 12:00,,✔️,,已结束,德阳市人民政府 / 广汉市人民政府 / 德阳高新区管委会,2025-11-02 11:18,180/80,,10000,,广汉三星堆马拉松,德阳市广汉三星堆半程马拉松
全程 / 半程,2025-08-04 10:00,官网/微信/小程序 / 数字心动,,5000/10000,https://www.quzhoumarathon.cn,未提及,自行评估,,quzhoumarathon@163.com,15951842195,江苏铁人体育文化发展有限公司,2025-09-11 00:00,浙江,A,,2025-09-01 23:59,,✔️,,已结束,衢州市人民政府,2025-11-23 17:16,150/120,报名时缴费,15000,,衢马,衢州马拉松
全程 / 半程,2025-08-06 10:00,官网/微信/小程序 / 数字心动 / 马拉马拉 / 最酷 / 跑跑网(马拉松报名) / 润赛美佳,,3000/5000,,未提及,自行评估,,,19040679504,湖南加博体育文化传播有限公司,,湖南,A,,2025-09-30 17:00,,❌,益阳市市民文化中心,已结束,湖南省体育局 / 益阳市人民政府,2025-11-02 09:04,150/100,,8000,,益阳马拉松,益阳马拉松
全程 / 半程,2025-06-15 10:00,官网/微信/小程序 / 润赛美佳 / 第一赛道,,3000/10000,,半程或以上 / 10km及以上,可用完赛证书,,nanchongmarathon@163.com,19980816949,成都尚跑体育文化传播有限公司,,四川,A,10.2 12:00可退,2025-07-03 12:43,,❌,,已结束,南充市人民政府 / 四川省田径协会,2025-11-02 09:04,200/180,报名时缴费,13000,,尚跑赛事,南充嘉陵江马拉松
半程,2025-09-28 10:00,官网/微信/小程序,,20000,https://www.xiamenhuandongmarathon.com,未提及,未提及,,,0592-3660069,厦门体育产业集团赛事运营有限公司,2025-10-17 00:00,福建,A,无,2025-10-12 10:00,https://docimg9.docs.qq.com/image/AgAACG-qqCH-SUMaF31C4KuZPJmisVhV.jpeg?w=2481&h=3227,✔️,美峰体育公园,已结束,厦门市人民政府 / 厦门市同安区人民政府 / 厦门市翔安区人民政府,2025-12-21 00:00,180,报名时缴费,20000,,厦门环东半程马拉松赛,厦门环东半程马拉松赛
全程 / 半程,2025-08-30 10:00,官网/微信/小程序 / 第一赛道,,2000/5000,,半程或以上,自行评估,,gaoming@gustomail.cn,,路越（湖北）体育发展有限公司,,广东,B,,2025-10-23 18:00,,❌,,已结束,佛山市高明区人民政府,2025-11-23 00:00,188/168,报名时缴费,7000,,高明稻田马拉松,佛山高明稻田马拉松
全程 / 半程,2025-08-29 12:00,官网/微信/小程序,,2000/4000,,未提及,自行评估,,,17316784625,天津市飞赫体育文化传播有限公司,,重庆,A,,2025-11-15 18:00,,❌,,已结束,忠县人民政府,2025-11-30 22:06,150/120,报名时缴费,6000,,长江三峡马拉松,重庆忠县马拉松
半程,2025-09-28 10:00,官网/微信/小程序 / 数字心动,,15000,https://www.huangshimarathon.com,未提及,自行评估,,huangshimls@163.com,13260676179,广州博润体育科技有限公司,2025-11-10 00:00,湖北,A / 精英,,2025-10-28 18:00,,✔️,,已结束,黄石市人民政府,2025-12-14 00:00,160,中签后缴费,15000,,黄石半程马拉松,黄石半程马拉松
半程,2025-09-24 10:00,官网/微信/小程序 / 数字心动,,8000,https://www.sichuanbojiesports.com,未提及,必须,,,13529388388,云南博捷体育赛事策划有限公司,2025-11-20 00:00,云南,A,,2025-11-16 16:00,,✔️,抚澄大道,已结束,云南省体育局 / 玉溪市人民政府,2025-12-14 08:42,150,报名时缴费,8000,,博捷体育、玉溪马拉松,玉溪抚仙湖半程马拉松
半程,2025-09-17 14:00,官网/微信/小程序,,6000,,未提及,自行评估,,mls@126mls@126.com,15800259220,武汉锋尚体育发展有限公司,,广东,A,,2025-10-25 17:00,,❌,,已结束,新兴县人民政府,2025-11-30 22:06,138,报名时缴费,6000,,新兴马拉松,云浮新兴半程马拉松
全程 / 半程,2025-09-05 10:00,官网/微信/小程序,,5000/12000,https://www.wzim.org,未提及,自行评估,,wzim2021@163.com,0577-88868108,浙江青鸟捷出体育科技有限公司,2025-09-29 00:00,浙江,A,无,2025-09-20 18:00,,✔️,,已结束,温州市人民政府,2025-12-07 08:47,180/150,中签后缴费,17000,,温州马拉松,温州马拉松
全程 / 半程,2025-09-28 09:00,官网/微信/小程序,,2000/3000,,未提及,自行评估,,zjslty@126.com,18702590827,,,江西,B,,2025-10-31 18:00,,❌,宁都体育中心,已结束,中共宁都县委员会 / 宁都县人民政府,2025-11-23 00:00,150/120,报名时缴费,5000,,宁都红色马拉松,宁都县红色马拉松
全程 / 半程,2025-09-26 10:00,官网/微信/小程序,,3000/8000,,未提及,自行评估,,zhaoqingmls@126.com,18202007981,南京极致体育发展有限公司,2025-11-07 00:00,广东,A,,2025-10-26 16:00,,✔️,,已结束,肇庆市人民政府,2025-11-30 22:06,188/158,报名时缴费,11000,,肇庆马拉松,肇庆马拉松
全程 / 半程,2025-08-27 10:00,官网/微信/小程序 / 数字心动,,3000/15000,https://hirunsport.cn,未提及,自行评估,,hirunkefu@163.com,18248484836,杭州嗨跑体育管理有限公司,,浙江,A,有,2025-10-10 10:00,,❌,,已结束,淳安县人民政府 / 浙江省马拉松及路跑协会,2025-11-30 00:00,200/200,报名时缴费,13000,,嗨跑体育,千岛湖马拉松
全程 / 半程,2025-09-05 10:00,官网/微信/小程序 / 数字心动,,3000/5000,,未提及,自行评估,,jgsmls@126.com,0796-2180037,北京中锐体育产业有限公司,2025-10-10 00:00,江西,A,,2025-09-30 17:00,,✔️,井冈山市人民政府,已结束,江西省体育局 / 吉安市人民政府,2025-11-23 00:00,150/120,报名时缴费,10000,,井冈山马拉松,井冈山马拉松
全程 / 半程,2025-11-03 10:00,官网/微信/小程序,,2000/8000,,未提及,自行评估,,heyuanmls@163.com,18682137681,广州双鱼体育文化发展有限公司 / 广州悦跑信息科技有限公司,,广东,B,,2025-11-21 17:00,,❌,河源市体育馆,已结束,河源市人民政府,2025-12-21 00:00,180/150,报名时缴费,10000,,2025河源万绿湖马拉松,河源万绿湖马拉松
全程,2025-07-01 00:00,官网/微信/小程序,,23000,https://www.shang-ma.com,未提及,未提及,,general@shmarathon.com,400-101-5879,上海东浩兰生赛事管理有限公司,2025-08-25 00:00,上海,A / 白金 / AIMS / WMM-C,无,2025-07-31 23:59,,✔️,外滩金牛广场,已结束,上海市体育总会 / 上海市黄浦区人民政府 / 上海市静安区人民政府 / 上海市徐汇区人民政府 / 东浩兰生（集团）有限公司,2025-11-30 22:06,200,中签后缴费,23000,,上马,上海马拉松
半程,2025-10-17 17:00,官网/微信/小程序 / 数字心动,,18000,https://www.xmhaicangmarathon.com,未提及,自行评估,,haicangbm@163.com,0592-5372066,厦门文广体育有限公司,2025-11-03 00:00,福建,A / 标牌,,2025-10-30 18:00,,✔️,兴港路与角嵩路交叉口,已结束,厦门市人民政府 / 厦门市海沧区人民政府,2025-12-07 00:00,180,报名时缴费,18000,,厦门海沧半程马拉松,厦门海沧半程马拉松
全程 / 半程,2025-11-21 14:23,官网/微信/小程序 / 数字心动,,5000/5000,,未提及,自行评估,,gzqdnxlsmls@163.com,0855-8255564,,,贵州,A,,2025-11-28 21:00,,❌,,已结束,贵州省体育局 / 黔东南州人民政府,2025-12-14 08:42,180/150,报名时缴费,10000,,香炉山马拉松,贵州黔东南香炉山马拉松
全程 / 半程 / 中距离 / 短距离,2025-06-14 11:00,官网/微信/小程序,,1500/2000/2000/500,https://lohasnet.tw/Taichung-marathon2025/,未提及,未提及,,lohasnet.tw@gmail.com,(886)05-5510310,,,台湾,AIMS,有,2025-09-30 23:59,,❌,,已结束,臺中市政府運動局 / 社團法人臺中市繁榮葫蘆墩促進會 / 臺中市神岡區體育會 / 臺中市豐原區體育會,2025-11-23 00:00,NT$1050/900/800/700,报名时缴费,6000,,,臺中國際馬拉松
全程 / 半程,2025-09-25 10:00,官网/微信/小程序 / 数字心动,,3000/6000,,未提及,自行评估,,,17316784625,重庆云动风行体育文化传播有限公司,,重庆,A,,2025-10-30 23:59,,❌,,已结束,重庆市璧山区人民政府,2025-11-23 00:00,180/150,报名时缴费,9000,,云动重庆,重庆璧山马拉松
全程 / 半程,2025-09-28 13:28,官网/微信/小程序,,3000/5000,,未提及,必须,,jxwymarathon@163.com,19065808508,,,江西,A,,2025-11-03 18:00,,❌,,已结束,婺源县人民政府,2025-11-30 22:06,120/100,报名时缴费,8000,,婺源马拉松,婺源马拉松
全程 / 半程,2025-08-05 10:00,官网/微信/小程序 / 数字心动,,2000/4000,,未提及,未提及,,,,安徽睿驰体育文化有限公司,,安徽,A,,2025-09-30 18:00,,❌,乐动力淮南奥体中心,已结束,安徽省体育局 / 淮南市人民政府,2025-11-23 10:07,120/100,报名时缴费,6000,,淮南马拉松,淮南马拉松
全程 / 半程,2025-10-27 10:00,官网/微信/小程序 / 数字心动 / 职工之家,,4000/6000,,未提及,自行评估,,boaomls@163.com,15800259220,武汉锋尚体育发展有限公司,,海南,A,,2025-11-23 20:00,,❌,琼海市文化体育中心,已结束,琼海市人民政府 / 海南日报报业集团,2025-12-14 08:42,198/158,报名时缴费,10000,,琼海博鳌马拉松,琼海博鳌马拉松
半程,2025-09-04 14:00,官网/微信/小程序 / 第一赛道,,9000,http://humen.gusto.cn,半程或以上,自行评估,,humen@gustomail.cn,,广西新中体育有限责任公司,2025-10-30 00:00,广东,A,,2025-10-10 18:00,,✔️,,已结束,东莞市虎门镇人民政府,2025-11-23 00:00,150,报名时缴费,9000,,虎门半程马拉松,虎门半程马拉松
全程 / 半程,2025-10-30 10:00,官网/微信/小程序 / 数字心动 / 马拉马拉,,10000/16000,https://www.sco-marathon.com,未提及,自行评估,,scomarathon@vip.163.com,17869819191,云南上合文化体育有限公司,2025-11-15 00:00,云南,A / 金标,,2025-11-05 18:00,,✔️,云南海埂会堂,已结束,云南省体育局 / 云南省人民政府外事办公室 / 昆明市人民政府,2025-11-30 00:00,200/150,报名时缴费,26000,,上合马拉松系列赛,上合昆明马拉松
全程 / 半程,2025-10-05 14:00,官网/微信/小程序 / 第一赛道,,3500/6500,https://yulin.sport-china.cn,半程或以上,自行评估,,yulin@gustomail.cn,,北京耐吉文化传播有限公司,,广西,A,,2025-11-23 23:59,,❌,,已结束,广西壮族自治区体育局 / 玉林市人民政府,2025-12-14 08:42,180/150,报名时缴费,10000,,玉林马拉松、第一赛道,玉林马拉松
