报名渠道,主办单位,报名开启时间,状态,赛事等级,完赛经历要求,出签日期,分项规模,起点,比赛路线,抽签,退出机制,联系电话,赛事,创建时间,官网,总规模,报名费,省份,最后编辑时间,报名截止时间,运营单位,官方邮箱,比赛项目,比赛日期,缴费时间,体检报告,微信公众号,奖牌
官网/微信/小程序,,,待确定,,,,,,,,,,云浮新兴半程马拉松,,,,,广东,,,,,,2026-11-22 00:00,,,,
官网/微信/小程序,,,待确定,HK / 白金 / AIMS,,,,,,,,,港珠澳大橋（香港段）半馬拉松,,,,,香港,,,,,半程,2026-11-15 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,惠州马拉松赛,,,,,广东,,,,,,2026-11-29 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,宁夏黄河金岸（吴忠）马拉松,,,,,宁夏,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,奉贤海湾森林半程马拉松,,,,,上海,,,,,,2026-11-29 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,阳泉娘子关半程马拉松,,,,,山西,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,海南（三亚）马拉松,,,,,海南,,,,,,2026-12-27 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,玉环半程马拉松,,,,,浙江,,,,,,2026-12-05 00:00,,,,
官网/微信/小程序,,,待确定,标牌,,,,,,,,,厦门海沧半程马拉松,,,,,福建,,,,,半程,2026-12-06 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,盘锦红海滩马拉松,,,,,辽宁,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,长治马拉松,,,,,山西,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,仙游马拉松,,,,,福建,,,,,,2026-11-29 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,莆田马拉松,,,,,福建,,,,,,2026-12-27 00:00,,,,
官网/微信/小程序,泉州市泉港区人民政府,2025-08-08 18:08,取消,认证中,未提及,,15000/5000,泉港锦绣广场,,❌,经组委会确认获得参赛资格者，如无法参赛，物资包不予发放，报名费不予退还，组委会可给予保留下一届直接参赛资格，但须重新报名并缴纳报名费。如连续两年获得参赛资格，却均未到场参赛，则取消其随后一年的报名参赛资格。报名后由于不可抗因素（包括政策或天气变化）赛事取消无法参赛的，组委会可给予保留下一届直接免费参赛资格或申请退还报名费。,13713809641,泉港半程马拉松,,http://www.cityrun.cc/front/marathon/index/uid/15186.html,20000,168/98,福建,,2026-02-22 23:59,深圳市微马城市发展有限公司,,半程 / 短距离,,报名时缴费,自行评估,泉港半程马拉松,
官网/微信/小程序,,,待确定,精英,,,,,,,,,福州马拉松,,,,,福建,,,,,全程 / 半程,2026-12-27 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,宁都县红色马拉松,,,,,江西,,,,,,2026-11-22 00:00,,,,
官网/微信/小程序,,,待确定,AIMS,,,,,,,,,曾文水库馬拉松,,,,,台湾,,,,,,2026-12-13 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,吉木萨尔天山马拉松,,,,,新疆,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,梅州马拉松赛,,,,,广东,,,,,,2026-12-27 00:00,,,,
官网/微信/小程序,,,待确定,认证中,,,,,,,,,瑞安半程马拉松,,,,,浙江,,,,,半程,,,,,
官网/微信/小程序,,,待确定,认证中,,,,,,,,,中国田径协会10公里精英赛（吐鲁番站）,,,,,新疆,,,,,,,,,,
官网/微信/小程序,,,待确定,精英,,,,,,,,,黄石半程马拉松,,,,,湖北,,,,,半程,2026-11-22 00:35,,,,
官网/微信/小程序,,,待确定,AIMS,,,,,,,,,新竹城市馬拉松,,,,,台湾,,,,,,2026-11-15 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,澄迈半程马拉松,,,,,海南,,,,,,2026-12-06 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,铁岭莲花湿地半程马拉松,,,,,辽宁,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,琼海博鳌马拉松,,,,,海南,,,,,,2026-12-12 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,黄山马拉松,,,,,安徽,,,,,,2026-11-29 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,河源万绿湖马拉松,,,,,广东,,,,,,2026-12-27 00:00,,,,
官网/微信/小程序,,,待确定,CT / 金标 / AIMS,,,,,,,,,臺北馬拉松,,,,,台湾,,,,,全程 / 半程,2026-12-20 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,台州马拉松,,,,,浙江,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,克拉玛依马拉松,,,,,新疆,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,库尔勒半程马拉松,,,,,新疆,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,厦门环东半程马拉松赛,,,,,福建,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,象山半程马拉松,,,,,浙江,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,井冈山马拉松,,,,,江西,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,康保马拉松,,,,,河北,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,日照马拉松,,,,,山东,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,金秀半程马拉松,,,,,广西,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,长宁·蜀南竹海半程马拉松,,,,,四川,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,三江半程马拉松赛,,,,,广西,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,稷山马拉松,,,,,山西,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,南通马拉松,,,,,江苏,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,郑州马拉松,,,,,河南,,,,,全程 / 半程,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,官厅湖马拉松,,,,,河北,,,,,,,,,,
官网/微信/小程序,,,待确定,认证中,,,,,,,,,兰溪半程马拉松,,,,,浙江,,,,,半程,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,玉林马拉松,,,,,广西,,,,,,,,,,
官网/微信/小程序,,,待确定,认证中,,,,,,,,,奉节半程马拉松,,,,,重庆,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,康县青龙山半程马拉松,,,,,甘肃,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,丹东鸭绿江马拉松,,,,,辽宁,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,天津马拉松,,,,,天津,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,赣州马拉松,,,,,江西,,,,,,,,,,
官网/微信/小程序,,,待确定,AIMS,,,,,,,,,臺中國際馬拉松,,,,,台湾,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,虎门半程马拉松,,,,,广东,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,大理小河淌水半程马拉松,,,,,云南,,,,,,,,,,
官网/微信/小程序,,,待确定,认证中,,,,,,,,,钦州马拉松赛,,,,,广西,,,,,全程 / 半程,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,长春莲花山半程马拉松,,,,,吉林,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,绍兴马拉松,,,,,浙江,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,横店马拉松,,,,,浙江,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,陕西宝鸡·麟游夏季半程马拉松,,,,,陕西,,,,,,,,,,
,,,待确定,A,,,,,,,,,中国田径协会10公里精英赛（兵团第十二师站）,,,,,兵团,,,,,10km / 短距离,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,汤河国家湿地公园半程马拉松,,,,,河南,,,,,,,,,,
官网/微信/小程序,,,待确定,AIMS,,,,,,,,,嘉義雙潭馬拉松菁英賽,,,,,台湾,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,玉溪抚仙湖半程马拉松,,,,,云南,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,龙口马拉松,,,,,山东,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,乌鲁木齐马拉松,,,,,新疆,,,,,,,,,,
官网/微信/小程序,,,待确定,MC / AIMS,,,,,,,,,澳門國際馬拉松,,https://www.macaomarathon.com,,,澳门,,,,,,,,,澳门体育,
官网/微信/小程序,,,待确定,,,,,,,,,,中国田径协会10公里精英赛（遵义站）,,,,,贵州,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,查干湖马拉松,,,,,吉林,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,黄姚古镇马拉松,,,,,广西,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,中国田径协会10公里精英赛（福建福鼎站）,,,,,福建,,,,,,,,,,
官网/微信/小程序,,,待确定,认证中,,,,,,,,,老河口半程马拉松,,,,,湖北,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,汕头马拉松,,,,,广东,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,环峡山湖马拉松,,,,,山东,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,嘉兴马拉松,,,,,浙江,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,平谷桃花半程马拉松,,,,,北京,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,德州马拉松,,,,,山东,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,中国田径协会10公里精英赛（沈阳站）,,,,,辽宁,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,黄埔马拉松,,,,,广东,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,玉溪马拉松,,,,,云南,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,潍坊马拉松,,,,,山东,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,中国田径协会10公里精英赛（玉溪站）,,,,,云南,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,永川马拉松,,,,,重庆,,,,,全程 / 半程,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,肇庆马拉松,,,,,广东,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,喀什马拉松,,,,,新疆,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,诸暨西施半程马拉松,,,,,浙江,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,阿克苏市马拉松,,,,,新疆,,,,,,,,,,
官网/微信/小程序,,,待确定,AIMS,,,,,,,,,衡水湖马拉松,,,,,河北,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,江门马拉松赛,,,,,广东,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,临朐半程马拉松,,,,,山东,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,泰宁半程马拉松,,,,,福建,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,苏州环金鸡湖半程马拉松,,,,,江苏,,,,,半程,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,南充嘉陵江马拉松,,,,,四川,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,遂宁观音湖马拉松,,,,,四川,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,鹤庆半程马拉松,,,,,云南,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,贵州黔东南香炉山马拉松,,,,,贵州,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,万峰林警察半程马拉松,,,,,贵州,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,万峰林半程马拉松,,,,,贵州,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,舟山群岛半程马拉松,,,,,浙江,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,广安马拉松,,,,,四川,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,宁德马拉松,,,,,福建,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,德阳市广汉三星堆半程马拉松,,,,,四川,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,贵州铜仁·梵净山马拉松,,,,,贵州,,,,,,,,,,
