官方邮箱,起点,运营单位,抽签,最后编辑人,状态,分项规模,赛事,最后编辑时间,创建人,完赛经历要求,报名费,体检报告,联系电话,省份,赛事等级,创建时间,报名渠道,比赛路线,主办单位,奖牌,官网,比赛日期,缴费时间,退出机制,比赛项目,出签日期,总规模,微信公众号,报名开启时间,报名截止时间
cd_marathon@126.com,金沙遗址博物馆,广州万达体育发展有限公司 / 成都传媒产业集团有限公司,✔️,,已结束,25000/10000,成都马拉松,,,未提及,200/200,自行评估,028-83419663,四川,A / 标牌 / AIMS,,官网/微信/小程序 / 马拉马拉,,中国田径协会 / 成都市人民政府,,http://chengdumarathon.cn/,2025-10-26 17:25,报名时缴费,已报名跑者可点击报名详情页面的“退赛申请”按钮自行办理退款。2025年8月14日（含）之前退出退还80%报名费，2025年8月15日至2025年9月14日（含）之前退出退还60%报名费，组委会将在收到退出申请后一周内办理退款，9月15日（含）之后不可退出。,全程 / 半程,2025-06-15 09:56,35000,成都马拉松,2025-04-15 10:00,2025-05-15 22:00
pingguhm@163.com,,,✔️,,已结束,10000,平谷桃花半程马拉松,,,未提及,120,自行评估,18500107695,北京,A,,数字心动 / 马拉马拉,,北京市平谷区人民政府,,,2025-11-16 23:58,报名时缴费,,半程,2025-10-31 00:00,10000,北京市田径运动协会,2025-10-12 10:08,2025-10-19 18:00
1472901668@qq.com,,江阴市澄和体育产业发展有限公司,✔️,,已结束,7000,江阴新桥镇半程马拉松,,,未提及,120,自行评估,18915389021,江苏,A,,官网/微信/小程序 / 汇跑参赛助手 / 数字心动,,江阴市人民政府,,,2025-11-09 00:00,,,半程,2025-09-05 00:00,7000,,2025-08-08 10:00,2025-08-28 15:00
15003808400,,河南赛乐体育文化传播有限公司,❌,,已结束,2000/5000,三门峡马拉松,,,半程或以上,150/120,必须,,河南,B,,官网/微信/小程序,,三门峡市人民政府,,https://joysports2021@126.com,2025-11-16 23:58,报名时缴费,,全程 / 半程,,7000,三门峡马拉松,2025-08-10 10:00,2025-10-10 17:00
guanganmarathon@163.com,,新华网四川有限公司,❌,,已结束,3000/7000,广安马拉松,,,未提及,200/180,自行评估,028-85282167,四川,A / 标牌,,官网/微信/小程序 / 跑跑网(马拉松报名) / 汇跑参赛助手,,广安市人民政府,,https://guangan.marathon.org.cn,2025-11-16 00:00,报名时缴费,,全程 / 半程,,10000,运动广安,2025-07-21 10:00,2025-10-15 23:59
snmarathon@qq.com,,华体赛事（北京）体育管理有限公司,✔️,,已结束,2000/6000,遂宁观音湖马拉松,,,未提及,180/150,自行评估,18982518949,四川,A,,官网/微信/小程序 / 马拉马拉,,遂宁市人民政府 / 四川省田径协会,,http://suininggyh-marathon.mararun.com,2025-11-09 00:00,报名时缴费,,全程 / 半程,2025-10-16 00:00,8000,遂宁观音湖马拉松,2025-08-20 10:00,2025-09-30 20:00
zjxsmls@163.com,诸暨篮球中心,南京极致体育发展有限公司,❌,,已结束,10000,诸暨西施半程马拉松,,,半程或以上,120,可用完赛证书,027-59882567,浙江,A,,官网/微信/小程序 / 数字心动,,诸暨市人民政府,,,2025-11-16 00:00,报名时缴费,无,半程,,10000,西施马拉松,2025-07-22 10:00,2025-10-16 18:00
cqnbmarathon@163.com,,重庆重马体育发展有限公司,✔️,,已结束,15000,重庆（长嘉汇）半程马拉松,,,10km及以上,200,自行评估,(023)62898882,重庆,A,,官网/微信/小程序,,重庆市南岸区人民政府,https://docimg2.docs.qq.com/image/AgAACG-qqCEPzBE3LwhLH7bsClXb3itl.jpeg?w=1280&h=1807,,2025-11-02 00:00,报名时缴费,,半程,2025-08-04 00:00,15000,重庆长嘉汇半程马拉松,2025-07-17 10:00,2025-07-25 16:45
dtmarathon@163.com,温州市洞头区政务服务中心,浙江青鸟捷出体育科技有限公司,❌,,已结束,3000/2000,中国田径协会10公里精英赛（温州·洞头）,,,未提及,100/80,自行评估,0577-88868108,浙江,A / WA,,官网/微信/小程序 / 数字心动 / 跑跑网(马拉松报名),,中国田径协会 / 温州市洞头区人民政府,,,2025-11-09 00:00,报名时缴费,无,10km / 短距离,,5000,温州马拉松,2025-10-12 10:00,2025-10-23 17:00
ztdjkgs@163.com,火把广场,成都中体大健康体育文化传播有限公司,❌,,已结束,6000/12000,西昌邛海湿地马拉松,,,未提及,200/160,自行评估,18008053490,四川,A / 金标,,数字心动 / 润赛美佳,,凉山彝族自治州人民政府,,,2025-11-01 08:34,报名时缴费,身体原因可申请,全程 / 半程,,18000,西昌邛海湿地马拉松,2025-05-08 10:00,2025-06-30 22:00
irunner@biji.co,,,❌,,已结束,2500/4000/3500/3500,新竹城市馬拉松,,,未提及,NT$1600/1350/1150/950,未提及,,台湾,AIMS,,官网/微信/小程序 / 運動筆記,,新竹市政府 / 永悅健康股份有限公司,,https://irunner.biji.co/HSINCHUCITY2025,2025-11-16 23:58,报名时缴费,有,全程 / 半程 / 中距离 / 短距离,,13500,,2025-06-08 12:00,2025-08-31 23:59
info@guanghan-marathon.com,,四川体产赛事管理有限公司,✔️,,已结束,7000/3000,德阳市广汉三星堆半程马拉松,,,未提及,180/80,现场核验,0838-5246921,四川,A,,官网/微信/小程序 / 数字心动 / 马拉马拉 / 润赛美佳 / 最酷,,德阳市人民政府 / 广汉市人民政府 / 德阳高新区管委会,,http://guanghan-marathon.com,2025-11-02 11:18,,,半程 / 短距离,2025-09-24 00:00,10000,广汉三星堆马拉松,2025-09-04 10:00,2025-09-17 12:00
sunmoonlakemarathon.service@gmail.com,日月潭,,❌,,已结束,1000/3000/1000,日月潭環湖馬拉松,,,未提及,NT$1700/1500/1200,未提及,(886)0986-257178,台湾,AIMS,,官网/微信/小程序 / 運動筆記,,"""中華運動生活協會""",,https://www.sunmoonlakemarathon.com,2025-10-26 15:05,报名时缴费,,全程 / 超半马 / 短距离,,5000,,2024-12-20 11:00,2025-05-28 17:00
nanchongmarathon@163.com,,成都尚跑体育文化传播有限公司,❌,,已结束,3000/10000,南充嘉陵江马拉松,,,半程或以上 / 10km及以上,200/180,可用完赛证书,19980816949,四川,A,,官网/微信/小程序 / 润赛美佳 / 第一赛道,,南充市人民政府 / 四川省田径协会,,,2025-11-02 09:04,报名时缴费,10.2 12:00可退,全程 / 半程,,13000,尚跑赛事,2025-06-15 10:00,2025-07-03 12:43
,,浙江横店体育发展有限公司,❌,,已结束,4000/12000,横店马拉松,,,半程或以上,180/150,可用完赛证书,,浙江,A,,官网/微信/小程序 / 数字心动,,东阳市人民政府 / 横店集团,,,2025-11-16 09:21,,,全程 / 半程,,16000,,2025-06-10 10:00,2025-09-03 17:00
quzhoumarathon@163.com,,江苏铁人体育文化发展有限公司,✔️,,已结束,5000/10000,衢州马拉松,,,未提及,150/120,自行评估,15951842195,浙江,A,,官网/微信/小程序 / 数字心动,,衢州市人民政府,,https://www.quzhoumarathon.cn,2025-11-23 17:16,报名时缴费,,全程 / 半程,2025-09-11 00:00,15000,衢马,2025-08-04 10:00,2025-09-01 23:59
chuzhoumls@163.com,滁州奥体中心,,❌,,已结束,3000/6000,滁州马拉松,,,未提及,150/120,自行评估,,安徽,A,,官网/微信/小程序 / 数字心动,,安徽省体育局 / 滁州市人民政府,,,2025-11-16 10:06,报名时缴费,,全程 / 半程,,15000,滁州马拉松,2025-09-08 10:00,2025-10-15 10:00
service@sportsnet.org.tw,,,❌,,已结束,4000/8500/8500/3000,長榮航空馬拉松 ,,,未提及,NT$1800/1100/800/500,未提及,(886)02-25855659,台湾,AIMS,,官网/微信/小程序,,"長榮航空 / ""中華民國路跑協會"" / ""中華民國文化休閒運動協會""",,https://www.evaairrun.com/sc,2025-10-26 14:36,报名时缴费,有,全程 / 半程 / 10km / 短距离,,24000,长荣航空,2025-05-08 17:00,2025-05-29 17:00
chenzhoumls@gustomail.cn,五岭广场,,✔️,,已结束,4000/8000,郴州马拉松,,,半程或以上,160/130,自行评估,,湖南,A,,官网/微信/小程序 / 第一赛道 / 数字心动,,湖南省体育局 / 郴州市人民政府,,https://chenzhou.sport-china.cn,2025-11-09 00:00,报名时缴费,,全程 / 半程,2025-09-19 00:00,12000,郴州马拉松,2025-08-12 10:00,2025-09-16 18:00
,,路越（上海）体育发展有限公司,✔️,,已结束,3000/7000,宜昌马拉松,,,,160/130,,,湖北,A / 精英,,,,宜昌市人民政府,,,2025-11-02 08:52,,,全程 / 半程,2025-09-20 00:00,10000,,2025-07-30 10:00,2025-09-10 18:00
hirunkefu@163.com,建德博物馆,杭州嗨跑体育管理有限公司,❌,,已结束,2000/5000,建德马拉松,,,半程或以上,150/150,可用完赛证书,19558164512,浙江,A,,官网/微信/小程序,,建德市人民政府 / 浙江省马拉松及路跑协会,,https://jiande.zjim.org,2025-11-16 00:00,报名时缴费,无,全程 / 半程,,7000,建德马拉松,2025-07-16 10:00,2025-09-30 18:00
,平湖农业经济开发区(广陈镇),戈友文化传媒（上海）有限公司,❌,,已结束,3000,平湖金山半程马拉松,,,未提及,120,必须,17821357388,浙江,B,,官网/微信/小程序 / 数字心动,,平湖市人民政府 / 上海市金山区人民政府,,https://www.world550.com,2025-11-16 00:00,报名时缴费,,半程,,3000,550体育、平湖农开、廊下生活,2025-09-08 10:00,2025-10-10 10:00
yzgymls@163.com,净土寺塔广场,池州山水体育文化发展有限公司,✔️,,已结束,3500,扬州高邮大运河半程马拉松赛,,,未提及,120,自行评估,17775390907,江苏,B,,官网/微信/小程序 / 数字心动,,高邮市人民政府 / 扬州市体育局,,,2025-11-02 00:00,报名时缴费,,半程,2025-09-05 00:00,3500,高邮大运河马拉松,2025-08-08 10:00,2025-08-27 21:00
,,郑州郑马体育文化传播有限公司,✔️,,已结束,12000/13000,郑州马拉松,,,未提及,200/200,自行评估,0371-63381730,河南,A,,官网/微信/小程序,,郑州市人民政府,,http://www.zhengzhou42195.com,2025-11-16 00:00,中签后缴费,,全程 / 半程,2025-09-16 00:00,25000,郑州马拉松,2025-09-01 10:00,2025-09-11 17:00
520running@gmail.com,,彰化縣馬拉松路跑協會 / 彰化縣城鄉創意發展協會,❌,,已结束,4000/6000/6500,台灣米倉田中馬拉松,,,未提及,NT$1750/1650/1450,未提及,(886)04-8753520,台湾,AIMS,,官网/微信/小程序 / 運動筆記,,"彰化縣政府 / ""中華民國舒康樂活運動協會""",,https://www.tianzhongmarathon.com,2025-11-08 14:41,报名时缴费,,全程 / 超半马 / 中距离,,16500,,2025-06-04 12:00,2025-06-14 23:59
nanchangganjiang@gustomail@cn,汇贤大道[地铁站],广东新中体育集团有限公司,❌,,已结束,20000,南昌赣江半程马拉松,,,半程或以上,100,自行评估,,江西,A,,官网/微信/小程序 / 第一赛道,,江西省体育局 / 南昌市人民政府 / 赣江新区管委会,,https://nanchangganjiang.sport-china.cn,2025-11-02 00:00,报名时缴费,有,半程,,20000,南昌赣江半程马拉松,2025-08-01 15:00,2025-09-30 23:59
apply@wuhanmarathon.org,华中科技大学,武汉汉马体育管理有限公司,✔️,,已结束,7000/6000,光谷马拉松,,,未提及,150/100,自行评估,027-88712733,湖北,A,,官网/微信/小程序 / 汇跑参赛助手,,湖北省体育局 / 武汉东湖新技术开发区管委会,,,2025-11-16 23:58,中签后缴费,,全程 / 半程,2025-09-17 00:00,13000,光谷马拉松,2025-08-29 10:00,2025-09-05 23:59
tianmuhumarathon@xempower.com.cn,燕湖公园,南京善跑体育科技有限公司,✔️,,已结束,4000/8000,天目湖马拉松,,,未提及,150/120,自行评估,025-87775902,江苏,A,,官网/微信/小程序,,溧阳市人民政府 / 常州市体育局,,https://https:/h't,2025-11-16 00:00,报名时缴费,无,全程 / 半程,2025-09-19 00:00,12000,天目湖马拉松,2025-08-11 10:00,2025-09-07 18:00
,,中奥智胜（北京）体育发展有限公司,❌,,已结束,6000/3000/6000,贺州半程马拉松,,,10km及以上,120/100/80,未提及,13071117160,广西,A,,官网/微信/小程序,,广西壮族自治区体育局 / 贺州市人民政府,,,2025-10-26 00:00,报名时缴费,,半程 / 10km / 短距离,,15000,奥盈体育,2025-08-05 10:00,2025-09-30 23:59
kefu@ihuipao.com,太湖西大道与隐秀路交叉口,无锡汇跑体育有限公司,✔️,,已结束,17000,环蠡湖半程马拉松,,,未提及,160,自行评估,400-99-42195,江苏,A / 标牌,,官网/微信/小程序 / 汇跑参赛助手,,无锡市滨湖区人民政府,,https://lihu.marathon.org.cn,2025-11-02 09:04,中签后缴费,有退出候补机制,半程,2025-08-26 00:00,17000,汇跑赛事,2025-08-13 10:00,2025-08-21 17:00
gaomazwh@163.com,丹阳湖南路,浙江中迹体育发展有限公司,❌,,已结束,3000/8000,高淳马拉松,,,未提及,160/130,自行评估,025-69777031,江苏,A / 标牌,,官网/微信/小程序,,南京市高淳区人民政府,,https://www.gaochunmarathon.com,2025-11-02 09:04,中签后缴费,,全程 / 半程,2025-09-26 00:00,11000,高淳马拉松,2025-09-08 10:00,2025-09-20 17:00
shuangao66@163.com,富昌大桥,北京双奥体育文化产业集团有限公司,❌,,已结束,7000/3000,富平半程马拉松,,,,120/50,自行评估,010-53383535,陕西,B,,官网/微信/小程序,,渭南市体育局 / 富平县人民政府,,,2025-10-26 00:00,报名时缴费,,半程 / 短距离,,10000,富平半程马拉松,2025-07-15 10:00,2025-08-30 18:00
,益阳市市民文化中心,湖南加博体育文化传播有限公司,❌,,已结束,3000/5000,益阳马拉松,,,未提及,150/100,自行评估,19040679504,湖南,A,,官网/微信/小程序 / 数字心动 / 马拉马拉 / 最酷 / 跑跑网(马拉松报名) / 润赛美佳,,湖南省体育局 / 益阳市人民政府,,,2025-11-02 09:04,,,全程 / 半程,,8000,益阳马拉松,2025-08-06 10:00,2025-09-30 17:00
bengbumls@163.com,蚌埠市体育场(体育路店),,❌,,已结束,2500/5500,蚌埠马拉松,,,未提及,150/100,自行评估,,安徽,A,,官网/微信/小程序 / 数字心动,,安徽省体育局 / 蚌埠市人民政府,,,2025-11-02 00:00,,,全程 / 半程,,8000,蚌埠马拉松,2025-08-12 10:00,2025-09-12 10:00
xgmarathon@163.com,孝感市文化中心,广州博润体育科技有限公司,✔️,,已结束,4000/8000,孝感马拉松,,,未提及,180/150,自行评估,13044802661,湖北,A,,官网/微信/小程序 / 数字心动,,孝感市人民政府,,,2025-11-02 00:00,报名时缴费,,全程 / 半程,2025-09-15 00:00,20000,孝感马拉松,2025-08-05 10:00,2025-09-05 17:00
carmmarathon@163.com,,江苏有迈体育发展股份有限公司,✔️,,已结束,10000/5000,中国马拉松精英排名赛暨长荡湖马拉松,,,1.马拉松组：男子全程≤3:54:53，女子全程≤4:24:53； 2.半程马拉松组：男子全程≤4:30:00或男子半程≤2:05:00，女子全程≤5:00:00或半程≤2:20:00。,200/160,自行评估,19905197127,江苏,A,,官网/微信/小程序 / 数字心动,,中国田径协会 / 常州市人民政府,,,2025-11-23 00:00,中签后缴费,报名成功后不可退出,全程 / 半程,2025-09-12 00:00,15000,中国马拉松精英排名赛,2025-08-13 10:00,2025-09-07 23:59
baojimarathon@163.com,宝鸡市行政中心广场,威赢赛事运营有限公司,✔️,,已结束,10000/14000/7000,宝鸡马拉松,,,未提及,200/200/120,自行评估,029-85361589,陕西,A,,官网/微信/小程序 / 智赛通,,陕西省体育局 / 宝鸡市人民政府,,https://www.baoji-marathon.com,2025-10-26 00:00,报名时缴费,,全程 / 半程 / 短距离,2025-08-15 00:00,31000,宝鸡马拉松、威赢赛事,2025-07-31 10:00,2025-08-08 18:00
xiamen10k@163.com,厦门国际博览中心,,✔️,,已结束,7000/2500,"中国田径协会10公里精英赛（厦门·翔安站）
",,,未提及,100/80,自行评估,13338467323,福建,A / WA,,官网/微信/小程序 / 数字心动,,中国田径协会 / 厦门市体育局 / 厦门市翔安区人民政府,,,2025-11-22 00:00,报名时缴费,,10km / 短距离,2025-10-29 00:00,9500,厦门翔安10K精英赛,2025-09-30 10:00,2025-10-24 12:00
nanchang42195@163.com,八一广场,北京中迹体育管理有限公司,✔️,,已结束,20000/12000,南昌马拉松,,,未提及,200/150,自行评估,0791-82760195,江西,A / 精英,,官网/微信/小程序,,江西省体育局 / 南昌市人民政府,,https://www.nanchangmarathon.cn,2025-11-09 14:42,中签后缴费,,全程 / 半程,2025-08-30 00:00,32000,南昌马拉松,2025-08-08 14:00,2025-08-18 17:00
luocheng@gustomail.cn,罗城县民族文化广场,,❌,,已结束,3500,罗城半程马拉松,,,半程或以上,120,自行评估,,广西,A,,官网/微信/小程序 / 第一赛道,,中共罗城仫佬族自治县委员会 / 罗城仫佬族自治县人民政府 / 河池市文化广电体育和旅游局,,http://luocheng.sport-china.cn,2025-11-09 00:00,报名时缴费,,半程,,3500,第一赛道、罗城半程马拉松,2025-10-01 10:00,2025-10-31 23:59
chizhoumarathon@163.com,平天湖莲花台,池州山水体育文化发展有限公司,✔️,,已结束,3000/7000,池州马拉松,,,未提及,120/100,自行评估,,安徽,A,,官网/微信/小程序 / 数字心动,,安徽省体育局 / 池州市人民政府,,,2025-11-16 10:05,报名时缴费,,全程 / 半程,2025-07-15 10:54,16000,池州马拉松,2025-05-30 10:40,2025-06-30 22:40
,,,✔️,,已结束,8000,马鞍山·采石矶半程马拉松,,,未提及,100,自行评估,,安徽,A,,官网/微信/小程序 / 数字心动,,安徽省体育局 / 马鞍山市人民政府,,,2025-11-02 10:03,报名时缴费,,半程,2025-07-31 00:00,8000,采石矶马拉松,2025-06-18 15:00,2025-07-18 15:00
,锦绣广场,天津市飞赫体育文化传播有限公司,❌,,已结束,8000/4000,重庆涪陵白鹤梁半程马拉松,,,未提及,150/60,65岁以上需要,17316784625,重庆,A,,官网/微信/小程序 / 数字心动,,重庆市涪陵区人民政府,,,2025-10-26 00:00,报名时缴费,,半程 / 短距离,,12000,,2025-08-08 12:00,2025-09-28 17:00
,合肥骆岗公园,,✔️,,已结束,10000/15000,合肥马拉松,,,未提及,150/100,必须,0551-62648635,安徽,A,,官网/微信/小程序,,安徽省体育局 / 合肥市人民政府,https://docimg2.docs.qq.com/image/AgAACG-qqCG88ZpF3-9Gybnz6oPxZvcr.jpeg?w=2275&h=1279,https://www.hefeimarathon.com,2025-11-09 00:00,中签后缴费,,全程 / 半程,2025-09-09 00:00,25000,合肥马拉松,2025-08-22 10:00,2025-09-05 17:30
oc@beijing-marathon.com,天安门广场-入口,,✔️,,已结束,32000,北京马拉松,,,半程或以上,200,自行评估,010-67167482,北京,A / 金标 / AIMS / CMM,,官网/微信/小程序 / 数字心动 / 马拉马拉,https://docimg10.docs.qq.com/image/AgAACG-qqCGotTuRR-5DKIsqZozGv4Ho.png?w=1080&h=1527,中国田径协会 / 北京市体育局 / 中央广播电视总台,,https://www.beijing-marathon.com,2025-11-02 00:00,中签后缴费,,全程,2025-10-09 00:00,32000,北京马拉松,2025-09-10 10:00,2025-09-15 18:00
kashimarathon@163.com,,,❌,,已结束,1500/3500,喀什马拉松,,,未提及,160/120,自行评估,0998-2666122,新疆,A,,官网/微信/小程序,,喀什市人民政府 / 喀什地区体育局,,,2025-11-02 00:00,报名时缴费,,全程 / 半程,,5000,喀什马拉松,2025-09-17 20:00,2025-10-08 22:00
,黄龙体育中心体育场,浙江黄龙体育发展有限公司 / 南京善跑体育科技有限公司,✔️,,已结束,20000/12000,杭州马拉松,,,马拉松项目需半程以上完赛经历,200/150,必须,,浙江,A / 金标 / AIMS,,官网/微信/小程序,,浙江省体育局 / 杭州市人民政府,,,2025-11-02 09:46,中签后缴费,,全程 / 半程,2025-09-15 00:00,32000,杭州马拉松,2025-08-26 15:00,2025-09-01 17:00
china_beihai_10k@163.com,上海路旅游集散中心,,✔️,,已结束,7000/5000,中国田径协会10公里精英赛（北海站）,,,10km及以上,100/60,可用完赛证书,19162285560,广西,A / WA,,官网/微信/小程序 / 数字心动,,中国田径协会 / 广西壮族自治区体育局 / 北海市人民政府,,,2025-10-26 00:00,报名时缴费,,10km / 短距离,2025-10-01 00:00,12000,北海10K精英赛,2025-09-08 14:00,2025-10-15 18:00
tcmarathon@expwise.com,,云南行知探索体育文旅产业有限公司,✔️,,已结束,1500/4500,腾冲马拉松,,,未提及,200/150,自行评估,0871-65629970,云南,A,,官网/微信/小程序,,云南省体育局 / 保山市人民政府 / 腾冲市人民政府,,https://www.exprun.com,2025-11-23 00:00,报名时缴费,,全程 / 半程,2025-11-06 00:00,6000,腾冲马拉松,2025-09-29 10:00,2025-11-02 23:59
,乐动力淮南奥体中心,安徽睿驰体育文化有限公司,❌,,已结束,2000/4000,淮南马拉松,,,未提及,120/100,未提及,,安徽,A,,官网/微信/小程序 / 数字心动,,安徽省体育局 / 淮南市人民政府,,,2025-11-23 10:07,报名时缴费,,全程 / 半程,,6000,淮南马拉松,2025-08-05 10:00,2025-09-30 18:00
xymls2024@126.com,,福建省广播影视文化传媒有限公司,✔️,,已结束,3000/8000,仙游马拉松,,,未提及,160/130,自行评估,0591-38876306,福建,A,,官网/微信/小程序,,莆田市人民政府,,,2025-11-30 22:06,中签后缴费,,全程 / 半程,2025-10-10 00:00,11000,八闽名赛,2025-08-23 11:00,2025-09-23 17:00
gaoming@gustomail.cn,,路越（湖北）体育发展有限公司,❌,,已结束,2000/5000,佛山高明稻田马拉松,,,半程或以上,188/168,自行评估,,广东,B,,官网/微信/小程序 / 第一赛道,,佛山市高明区人民政府,,,2025-11-23 00:00,报名时缴费,,全程 / 半程,,7000,高明稻田马拉松,2025-08-30 10:00,2025-10-23 18:00
general@shmarathon.com,外滩金牛广场,上海东浩兰生赛事管理有限公司,✔️,,已结束,23000,上海马拉松,,,未提及,200,未提及,400-101-5879,上海,A / 白金 / AIMS / WMM-C,,官网/微信/小程序,,上海市体育总会 / 上海市黄浦区人民政府 / 上海市静安区人民政府 / 上海市徐汇区人民政府 / 东浩兰生（集团）有限公司,,https://www.shang-ma.com,2025-11-30 22:06,中签后缴费,无,全程,2025-08-25 00:00,23000,上马,2025-07-01 00:00,2025-07-31 23:59
17812173985@163.com,,,❌,,已结束,4000/4000,中国田径协会10公里精英赛（海南东方站）,,,未提及,100/50,自行评估,17812173985,海南,A / WA,,官网/微信/小程序 / 数字心动 / 跑跑网(马拉松报名),,中国田径协会 / 东方市人民政府,,,2025-12-14 08:42,报名时缴费,,10km / 短距离,,8000,今粲体育,2025-10-27 10:00,2025-11-20 10:00
yulin@gustomail.cn,,北京耐吉文化传播有限公司,❌,,已结束,3500/6500,玉林马拉松,,,半程或以上,180/150,自行评估,,广西,A,,官网/微信/小程序 / 第一赛道,,广西壮族自治区体育局 / 玉林市人民政府,,https://yulin.sport-china.cn,2025-12-14 08:42,报名时缴费,,全程 / 半程,,10000,玉林马拉松、第一赛道,2025-10-05 14:00,2025-11-23 23:59
,东坡城市湿地公园,四川博捷体育文化传播有限公司,✔️,,已结束,5000/12000,眉山东坡马拉松,,,未提及,200/180,现场核验,13529388388,四川,A,,官网/微信/小程序 / 数字心动,,四川省田径协会 / 眉山市人民政府,,http://www.sichuanbojiesports.com,2025-11-23 00:00,中签后缴费,,全程 / 半程,2025-08-01 16:13,17000,眉山东坡马拉松、博捷体育,2025-06-15 10:00,2025-07-20 22:00
jgsmls@126.com,井冈山市人民政府,北京中锐体育产业有限公司,✔️,,已结束,3000/5000,井冈山马拉松,,,未提及,150/120,自行评估,0796-2180037,江西,A,,官网/微信/小程序 / 数字心动,,江西省体育局 / 吉安市人民政府,,,2025-11-23 00:00,报名时缴费,,全程 / 半程,2025-10-10 00:00,10000,井冈山马拉松,2025-09-05 10:00,2025-09-30 17:00
,,天津市飞赫体育文化传播有限公司,❌,,已结束,2000/4000,重庆忠县马拉松,,,未提及,150/120,自行评估,17316784625,重庆,A,,官网/微信/小程序,,忠县人民政府,,,2025-11-30 22:06,报名时缴费,,全程 / 半程,,6000,长江三峡马拉松,2025-08-29 12:00,2025-11-15 18:00
,,重庆云动风行体育文化传播有限公司,❌,,已结束,3000/6000,重庆璧山马拉松,,,未提及,180/150,自行评估,17316784625,重庆,A,,官网/微信/小程序 / 数字心动,,重庆市璧山区人民政府,,,2025-11-23 00:00,报名时缴费,,全程 / 半程,,9000,云动重庆,2025-09-25 10:00,2025-10-30 23:59
cmsports@163.com,东原1891B馆,重庆重马体育发展有限公司,❌,,已结束,10000,中国田径协会10公里精英赛（重庆站）暨重庆10公里挑战赛,,,未提及,120,未提及,,重庆,A / WA,,官网/微信/小程序 / 数字心动,,中国田径协会 / 重庆市体育局 / 重庆市南岸区人民政府,,,2025-11-29 00:00,报名时缴费,,10km,,10000,重庆重马体育,2025-09-23 10:00,2025-11-07 17:00
huangshimls@163.com,,广州博润体育科技有限公司,✔️,,已结束,15000,黄石半程马拉松,,,未提及,160,自行评估,13260676179,湖北,A / 精英,,官网/微信/小程序 / 数字心动,,黄石市人民政府,,https://www.huangshimarathon.com,2025-12-14 00:00,中签后缴费,,半程,2025-11-10 00:00,15000,黄石半程马拉松,2025-09-28 10:00,2025-10-28 18:00
gzqdnxlsmls@163.com,,,❌,,已结束,5000/5000,贵州黔东南香炉山马拉松,,,未提及,180/150,自行评估,0855-8255564,贵州,A,,官网/微信/小程序 / 数字心动,,贵州省体育局 / 黔东南州人民政府,,,2025-12-14 08:42,报名时缴费,,全程 / 半程,,10000,香炉山马拉松,2025-11-21 14:23,2025-11-28 21:00
hirunkefu@163.com,,杭州嗨跑体育管理有限公司,❌,,已结束,3000/15000,千岛湖马拉松,,,未提及,200/200,自行评估,18248484836,浙江,A,,官网/微信/小程序 / 数字心动,,淳安县人民政府 / 浙江省马拉松及路跑协会,,https://hirunsport.cn,2025-11-30 00:00,报名时缴费,有,全程 / 半程,,13000,嗨跑体育,2025-08-27 10:00,2025-10-10 10:00
zhaoqingmls@126.com,,南京极致体育发展有限公司,✔️,,已结束,3000/8000,肇庆马拉松,,,未提及,188/158,自行评估,18202007981,广东,A,,官网/微信/小程序,,肇庆市人民政府,,,2025-11-30 22:06,报名时缴费,,全程 / 半程,2025-11-07 00:00,11000,肇庆马拉松,2025-09-26 10:00,2025-10-26 16:00
gqcmarathon@163.com,富华山景区,,✔️,,已结束,2000/3000,共青城马拉松,,,未提及,150/100,自行评估,19905197127,江西,A,,官网/微信/小程序 / 数字心动,,九江市人民政府,,,2025-11-30 22:06,报名时缴费,,全程 / 半程,2025-11-14 00:00,5000,,2025-10-22 18:00,2025-11-10 18:00
zjslty@126.com,宁都体育中心,,❌,,已结束,2000/3000,宁都县红色马拉松,,,未提及,150/120,自行评估,18702590827,江西,B,,官网/微信/小程序,,中共宁都县委员会 / 宁都县人民政府,,,2025-11-23 00:00,报名时缴费,,全程 / 半程,,5000,宁都红色马拉松,2025-09-28 09:00,2025-10-31 18:00
boaomls@163.com,琼海市文化体育中心,武汉锋尚体育发展有限公司,❌,,已结束,4000/6000,琼海博鳌马拉松,,,未提及,198/158,自行评估,15800259220,海南,A,,官网/微信/小程序 / 数字心动 / 职工之家,,琼海市人民政府 / 海南日报报业集团,,,2025-12-14 08:42,报名时缴费,,全程 / 半程,,10000,琼海博鳌马拉松,2025-10-27 10:00,2025-11-23 20:00
mls@126mls@126.com,,武汉锋尚体育发展有限公司,❌,,已结束,6000,云浮新兴半程马拉松,,,未提及,138,自行评估,15800259220,广东,A,,官网/微信/小程序,,新兴县人民政府,,,2025-11-30 22:06,报名时缴费,,半程,,6000,新兴马拉松,2025-09-17 14:00,2025-10-25 17:00
zhuhai-marathon@xempower.com.cn,,珠海华发体育运营管理有限公司,✔️,,已结束,4000/12000,珠海马拉松,,,未提及,200/200,自行评估,025-87775902,广东,B,,官网/微信/小程序,,珠海市人民政府,,https://www.zhuhaimarathon.com,2025-12-07 08:47,报名时缴费,,全程 / 半程,2025-11-12 00:00,16000,华发体育、善跑体育,2025-10-30 14:00,2025-11-05 18:00
